Gender,Country of Birth,Demographic Group,Value,SAL_NAME_2021,Year,Predicted_Value
M,Afghanistan,55 years and over,9,Mildura,2026,27.79866666666667
M,Afghanistan,55 years and over,5,Mulgrave (Vic.),2026,27.79866666666667
M,Afghanistan,55 years and over,13,Narre Warren,2026,27.79866666666667
M,Afghanistan,55 years and over,4,Narre Warren North,2026,27.79866666666667
M,Afghanistan,55 years and over,39,Narre Warren South,2026,27.79866666666667
M,Afghanistan,55 years and over,7,Pakenham,2026,27.79866666666667
M,Afghanistan,55 years and over,3,Ringwood East,2026,27.79866666666667
M,Afghanistan,55 years and over,10,Rowville,2026,27.79866666666667
M,Afghanistan,55 years and over,4,Scoresby,2026,27.79866666666667
M,Afghanistan,55 years and over,17,Shepparton,2026,27.79866666666667
M,Afghanistan,55 years and over,3,St Albans (Vic.),2026,27.79866666666667
M,Afghanistan,55 years and over,11,Swan Hill,2026,27.79866666666667
M,Afghanistan,55 years and over,3,Tarneit,2026,27.79866666666667
M,Afghanistan,55 years and over,5,Thomastown,2026,27.79866666666667
